cnt,title,description,org_link,link,pDate
92,부산 에코델타시티 분양 다시 &apos;훈풍&apos; [집슐랭],"22일 <b>부동산</b>R114에 따르면 중흥토건은 다음달 ‘중흥S-클래스 에코델타시티’, 대방건설은 11월... *‘집슐랭 연재’ 구독을 하시면 <b>부동산</b> 시장 및 재테크와 관련한 유익한 정보를 실시간으로 생생하게 전달받으실 수... ",https://www.sedaily.com/NewsView/29TIA5PHCB,https://www.sedaily.com/NewsView/29TIA5PHCB,2023-08-22 18:03:00
93,"쿠쿠홈시스, 말레이시아 중심으로 해외 시장 공략 박차","8월부터 올해 말까지 진행되는 하반기 대형 프로모션인 &apos;마이 라이프 위드 쿠쿠 2.0&apos;은 지난 2019년에 진행한 프로모션의 후속으로, 이벤트 기간 제품을 구매한 고객에게 무작위 추첨을 통해 자동차와 <b>부동산</b>, 상품권을... ",http://www.newspim.com/news/view/20230822000877,http://www.newspim.com/news/view/20230822000877,2023-08-22 18:02:00
94,&apos;250억 횡령 혐의&apos; 유혁기 구속기소…유병언 일가 수사 9년만에 일단락,이어 빼돌린 돈으로 해외 <b>부동산</b>을 사거나 아버지 사진전을 열었으며 일부는 고급 차량과 명품 구입 비용으로 쓰기도 했다고 밝혔다. 그러나 유씨는 검찰 조사에서 &quot;회사끼리 금전 거래는 했지만 횡령은 하지 않았다&quot;며... ,https://view.asiae.co.kr/article/2023082218010729661,https://view.asiae.co.kr/article/2023082218010729661,2023-08-22 18:01:00
95,S&amp;P도 美중소은행 신용강등… 고금리發 경고음 커진다,상업용<b>부동산</b>(CRE)에 대한 대출 등 관여 비중이 높다는 이유다. 이날 S&amp;P의 조치는 7일 또 다른 신용평가사인 무디스가 CRE 대출 관련 리스크 증가 등을 이유로 M&amp;T뱅크·피나클파이낸셜·프로스페리티은행 등 중소은행... ,https://www.sedaily.com/NewsView/29TI96MLY1,https://www.sedaily.com/NewsView/29TI96MLY1,2023-08-22 18:01:00
96,공사비 3.3㎡당 900만원 훌쩍…비용검증 의뢰 급증 [집슐랭],시공사와 조합 간 갈등이 전국 곳곳에서 빚어지는 가운데 한국<b>부동산</b>원에 공사비 검증을 의뢰하는 건수는 매년 증가 추세다. 올해 검증 의뢰 건수가 지난해 수준을 넘을지 주목된다. 21일 한국<b>부동산</b>원에 따르면 올해... ,https://www.sedaily.com/NewsView/29TIAD8IYK,https://www.sedaily.com/NewsView/29TIAD8IYK,2023-08-22 18:01:00
97,"신용거래융자 20조원…테마주 찾는 개미들, &apos;쪽박&apos; 우려","심지어 최근에는 중국의 <b>부동산</b> 위기와 미국의 고금리 지속 가능성에 대한 우려가 확산되면서, 국내 증시도 함께 침체기를 걷고 있는 상황이다. 그럼에도 개인투자자들은 신용거래에 더해 매수세를 늘리고 있는... ",https://www.asiatoday.co.kr/view.php?key=20230822010011388,https://www.asiatoday.co.kr/view.php?key=20230822010011388,2023-08-22 18:00:00
98,"S&amp;P, 미 은행 5곳 신용등급 강등…자금조달 비용 상승","상업용 <b>부동산</b> 대출 부실 위험이 큰 은행도 있다고 매체는 전했다. 니혼게이자이는 양호한 미국 경기로 금리 상승세가 다시 불붙고 있다며, 지역은행의 경영 불안이 지속되고 있다고 우려했다. jhmoon@yna.co.kr 본... ",https://news.einfomax.co.kr/news/articleView.html?idxno=4278229,https://news.einfomax.co.kr/news/articleView.html?idxno=4278229,2023-08-22 18:00:00
99,[자막뉴스] 도미노 포기 시작됐다...심각한 대한민국 현실,일각에선 청년층이 <b>부동산</b>과 주식·코인 등에 무리하게 빚을 내서 투자한 것이 영향을 미쳤다는 분석도 나오고 있습니다. 무리하게 빚을 졌더라도 미래 세대인 청년이 무너지면 자연스레 우리나라 경제도 무너질 수밖에... ,https://www.ytn.co.kr/_ln/0134_202308221758411246,https://www.ytn.co.kr/_ln/0134_202308221758411246,2023-08-22 17:58:00
100,"[더벨]교보자산신탁, 1500억 규모 유상증자 결의",차입형 및 정비사업에 참여해 <b>부동산</b> 개발역량을 강화해 왔다&quot;며 &quot;안정적인 자본력을 바탕으로 수주 확대는 물론 고객이 안심하고 교보자산신탁과 <b>부동산</b> 개발사업을 영위할 수 있도록 최선을 다할 계획&quot;이라고 전했다.,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202308221744573400104284,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202308221744573400104284,2023-08-22 17:58:00
101,저가 중국·일본産 철강재 밀려온다… 국내 철강업계 긴장감,아울러 중국의 <b>부동산</b> 경기 침체가 이어지면서 내수에서 소비되지 않은 재고 물량들이 국내로 들어온 것도 영향을 줬다. 저가의 수입산 철강 제품이 국내 시장에 유입되면서 국내산과 수입산의 가격 격차도 확대됐다는... ,http://www.fnnews.com/news/202308221756294941,http://www.fnnews.com/news/202308221756294941,2023-08-22 17:57:00
102,"LH, 전관 카르텔 근절방안 마련...국민의힘, 특별법 발의한다",그는 &quot;LH는 지난 2021년에 임직원 <b>부동산</b> 투기 논란도 해체 수준 혁신과 전관예우 근절을 외쳤지만 소 잃고 외양간 고치기에 불과했다. 과연 LH 자체 혁신만으로 환골탈태할 수 있을지 의문&quot;이라며 &quot;메스를 대는 외과... ,http://news.tf.co.kr/read/ptoday/2038223.htm,http://news.tf.co.kr/read/ptoday/2038223.htm,2023-08-22 17:56:00
103,이창용 “가계부채 지금 속도로 늘면 문제…강력 조치할 것”,것”이라며 <b>부동산</b> 연착륙을 위한 미시 정책을 조정해야 한다고 말했다. 이 총재는 22일 국회... 그는 최근 가계부채 증가 원인으로 정부의 <b>부동산</b> 규제 완화를 지목했다. 이 총재는 “(레고랜드 사태가 발생한) 지난해... ,https://biz.chosun.com/policy/policy_sub/2023/08/22/HPVLEFNJBFGIBBOAPHT2CEHMP4/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://biz.chosun.com/policy/policy_sub/2023/08/22/HPVLEFNJBFGIBBOAPHT2CEHMP4/?utm_source=naver&utm_medium=original&utm_campaign=biz,2023-08-22 17:56:00
104,"무역수지, 석 달 만에 다시 적자 전환하나",스카이데일리 양준규기자 = 중국 <b>부동산</b> 붕괴 위기론 제기… 최대 교역국 중국 불황 여파 우려 ▲ 15개월... 이러한 상황에서 헝다·비구이위안·완다 등 중국 <b>부동산</b> 기업들이 위기에 빠지면서 장기적인 침체에 빠질 수... ,http://www.skyedaily.com/news/news_view.html?ID=203157,http://www.skyedaily.com/news/news_view.html?ID=203157,2023-08-22 17:56:00
105,국내 주소 없는 외국인 집 살때 위탁관리인 지정 의무,국토부는 이와 같은 내용을 담은 <b>부동산</b> 거래신고 등에 관한 법률 시행령·시행규칙 개정안을 공포... 국토부 남영우 토지정책관은 &quot;이번 개정을 통해 <b>부동산</b>시장 교란행위에 대해 실효성 있는 조사·대응이 가능할 것으로... ,http://www.fnnews.com/news/202308221754182294,http://www.fnnews.com/news/202308221754182294,2023-08-22 17:55:00
